[2025-07-22 22:06:06] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=39520 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=39520
[2025-07-22 22:06:06] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=80.67.82.88 sport=41632 dport=443 [UNREPLIED] src=80.67.82.88 dst=192.168.10.111 sport=443 dport=41632
[2025-07-22 22:13:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=44793 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=44793
[2025-07-22 22:13:43] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.107.221.82 sport=58154 dport=80 [UNREPLIED] src=34.107.221.82 dst=192.168.10.111 sport=80 dport=58154
[2025-07-22 22:13:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=36744 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=36744
[2025-07-22 22:13:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=35850 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=35850
[2025-07-22 22:13:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=34117 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=34117
[2025-07-22 22:13:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=41214 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=41214
[2025-07-22 22:13:43] [NEW] udp      17 30 src=192.168.10.111 dst=34.36.137.203 sport=50958 dport=443 [UNREPLIED] src=34.36.137.203 dst=192.168.10.111 sport=443 dport=50958
[2025-07-22 22:13:43] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.107.221.82 sport=58170 dport=80 [UNREPLIED] src=34.107.221.82 dst=192.168.10.111 sport=80 dport=58170
[2025-07-22 22:13:43] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.36.137.203 sport=42212 dport=443 [UNREPLIED] src=34.36.137.203 dst=192.168.10.111 sport=443 dport=42212
[2025-07-22 22:13:43] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=59249 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=59249
[2025-07-22 22:13:43] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.160.144.191 sport=58236 dport=443 [UNREPLIED] src=34.160.144.191 dst=192.168.10.111 sport=443 dport=58236
[2025-07-22 22:13:44] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=37630 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=37630
[2025-07-22 22:13:44] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.36.54.80 sport=37068 dport=443 [UNREPLIED] src=34.36.54.80 dst=192.168.10.111 sport=443 dport=37068
[2025-07-22 22:13:44] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=40886 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=40886
[2025-07-22 22:13:44] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=49258 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=49258
[2025-07-22 22:13:44] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.99 sport=54538 dport=80 [UNREPLIED] src=142.250.203.99 dst=192.168.10.111 sport=80 dport=54538
[2025-07-22 22:13:44] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.178.234 sport=37138 dport=443 [UNREPLIED] src=142.250.178.234 dst=192.168.10.111 sport=443 dport=37138
[2025-07-22 22:13:44] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=34707 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=34707
[2025-07-22 22:13:44] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.107.243.93 sport=56568 dport=443 [UNREPLIED] src=34.107.243.93 dst=192.168.10.111 sport=443 dport=56568
[2025-07-22 22:13:44] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=53064 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=53064
[2025-07-22 22:13:44] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=142.250.203.99 sport=54544 dport=80 [UNREPLIED] src=142.250.203.99 dst=192.168.10.111 sport=80 dport=54544
[2025-07-22 22:13:44] [NEW] udp      17 30 src=192.168.10.111 dst=192.168.10.100 sport=34274 dport=53 [UNREPLIED] src=192.168.10.100 dst=192.168.10.111 sport=53 dport=34274
[2025-07-22 22:13:44] [NEW] tcp      6 120 SYN_SENT src=192.168.10.111 dst=34.149.100.209 sport=36536 dport=443 [UNREPLIED] src=34.149.100.209 dst=192.168.10.111 sport=443 dport=36536
